Query;Execution Time (ms);Common count
798;104.18987274169922;12600
799;95.11518478393555;12600
800;90.12985229492188;12600
801;90.98505973815918;12600
802;25.286197662353516;12600
803;91.75586700439453;12600
804;107.78689384460449;12600
805;121.3071346282959;12600
806;162.50085830688477;12600
807;103.74021530151367;12600
808;103.31296920776367;12600
809;94.20895576477051;12600
810;90.82198143005371;12600
811;96.8787670135498;12600
812;32.885074615478516;12600
813;94.73204612731934;12600
814;97.59211540222168;12600
815;160.34483909606934;12600
816;46.545982360839844;12600
817;99.83205795288086;12600
818;94.41304206848145;12600
819;103.92975807189941;12600
820;106.05287551879883;12600
821;87.97001838684082;12600
822;103.47628593444824;12600
823;113.02518844604492;12600
824;90.36684036254883;12600
825;123.03996086120605;12600
826;90.92116355895996;12600
827;92.23771095275879;12600
828;89.18094635009766;12600
829;87.02826499938965;12600
830;101.34625434875488;12600
831;96.70209884643555;12600
832;93.99104118347168;12600
833;91.41087532043457;12600
834;32.885074615478516;12600
835;94.78878974914551;12600
836;112.15996742248535;12600
837;104.1879653930664;12600
838;64.91804122924805;12600
839;94.64097023010254;12600
840;26.494264602661133;12600
841;100.61097145080566;12600
842;91.11690521240234;12600
843;88.52696418762207;12600
844;88.89198303222656;12600
845;25.187015533447266;12600
846;187.06583976745605;12600
847;166.56899452209473;12600
848;128.99017333984375;12600
849;95.96896171569824;12600
850;37.686824798583984;12600
851;96.7397689819336;12600
852;93.86610984802246;12600
853;111.68622970581055;12600
854;93.31083297729492;12600
855;163.20204734802246;12600
856;43.981075286865234;12600
857;86.79986000061035;12600
858;90.60788154602051;12600
859;95.91078758239746;12600
860;88.03582191467285;12600
861;96.98486328125;12600
862;37.947893142700195;12600
863;74.56707954406738;12600
864;101.85599327087402;12600
865;86.67302131652832;12600
866;35.13598442077637;12600
867;161.25988960266113;12600
868;102.97608375549316;12600
869;111.10496520996094;12600
870;89.36285972595215;12600
871;37.0478630065918;12600
872;92.61202812194824;12600
873;102.67519950866699;12600
874;89.70212936401367;12600
875;96.82798385620117;12600
876;96.80390357971191;12600
877;110.70418357849121;12600
878;76.41792297363281;12600
879;33.42604637145996;12600
880;120.2707290649414;12600
881;140.8061981201172;12600
882;52.69026756286621;12600
883;85.30807495117188;12600
884;91.70413017272949;12600
885;110.88681221008301;12600
886;88.56678009033203;12600
887;98.39701652526855;12600
888;118.4239387512207;12600
889;55.71603775024414;12600
890;97.78904914855957;12600
891;29.278039932250977;12600
892;93.99700164794922;12600
893;105.47399520874023;12600
894;84.3040943145752;12600
895;92.89312362670898;12600
896;104.16793823242188;12600
897;51.54705047607422;12600
898;78.87005805969238;12600
899;87.68630027770996;12600
900;135.0562572479248;12600
901;45.81499099731445;12600
902;89.47873115539551;12600
903;32.17601776123047;12600
904;89.39814567565918;12600
905;101.8521785736084;12600
906;92.51022338867188;12600
907;87.82005310058594;12600
908;98.26827049255371;12600
909;29.259920120239258;12600
910;90.00515937805176;12600
911;98.55508804321289;12600
912;115.88287353515625;12600
913;72.45182991027832;12600
914;91.6130542755127;12600
915;102.26082801818848;12600
916;29.702186584472656;12600
917;96.02499008178711;12600
918;97.54610061645508;12600
919;92.75293350219727;12600
920;104.02798652648926;12600
921;104.43902015686035;12600
922;78.85098457336426;12600
923;31.579971313476562;12600
924;165.95816612243652;12600
925;96.7259407043457;12600
926;29.139995574951172;12600
927;96.70519828796387;12600
928;78.47094535827637;12600
929;28.86199951171875;12600
930;88.93322944641113;12600
931;81.01916313171387;12600
932;39.30306434631348;12600
933;84.15102958679199;12600
934;110.4271411895752;12600
935;94.84386444091797;12600
936;146.38829231262207;12600
937;52.27398872375488;12600
938;89.66779708862305;12600
939;86.58194541931152;12600
940;108.96587371826172;12600
941;90.04497528076172;12600
942;97.55277633666992;12600
943;98.32000732421875;12600
944;99.74980354309082;12600
945;41.841983795166016;12600
946;89.80679512023926;12600
947;130.03778457641602;12600
948;139.5857334136963;12600
949;35.562992095947266;12600
950;100.69417953491211;12600
951;89.75815773010254;12600
952;121.28210067749023;12600
953;77.73423194885254;12600
954;125.61678886413574;12600
955;66.32018089294434;12600
956;108.551025390625;12600
957;120.72587013244629;12600
